,Class,244874_at,203066_at,209114_at,226907_at,201749_at,201750_s_at,208659_at,214164_x_at,241230_at,204508_s_at,210735_s_at,215867_x_at,203963_at,204509_at,230471_at,213285_at,204161_s_at,204160_s_at,208352_x_at,208353_x_at,205389_s_at,205390_s_at,207087_x_at,205391_x_at,240363_at,235914_at,202796_at,235128_at,202922_at,1555330_at,202923_s_at,201468_s_at,201467_s_at,210519_s_at,200737_at,227068_at,200738_s_at,217356_s_at,1558365_at,222719_s_at,218718_at,212190_at,218606_at,202843_at,1554462_a_at,202842_s_at
X60120,0,4.15035,8.92349,10.31409,6.80363,7.627280000000001,6.00243,10.78575,8.213510000000001,4.5635699999999995,6.160830000000001,6.636769999999999,8.026760000000001,8.392489999999999,4.460369999999999,3.9241300000000003,9.59093,6.3283,7.77855,4.97546,4.4745800000000004,2.8364599999999998,4.636480000000001,4.1182099999999995,4.36587,5.08801,5.19129,8.71643,6.38978,7.027839999999999,4.1712,7.4705699999999995,7.402880000000001,5.98152,6.5128699999999995,9.4172,8.04959,11.55636,10.54292,6.02501,8.14471,11.19895,9.61662,9.19849,5.39631,7.54689,8.64147
X32117,0,3.8634199999999996,8.72206,10.75595,8.69529,7.85195,6.3583300000000005,11.24047,7.75723,4.33605,5.76397,6.5366800000000005,7.69659,7.65499,4.63373,4.22896,8.53095,5.60155,7.16133,5.55919,4.88984,3.1636599999999997,5.05242,4.60872,4.78912,4.88554,5.24731,7.18233,6.79777,6.630610000000001,4.1696599999999995,7.530710000000001,6.87228,5.9703599999999994,7.02883,9.782,8.05268,11.9356,11.151069999999999,6.21338,7.4926699999999995,10.004669999999999,10.51823,9.45571,4.82739,7.35189,8.28267
X23066,0,4.4258,8.64839,10.236310000000001,6.892360000000001,7.719010000000001,6.52883,10.77375,8.61047,5.13276,6.63674,7.08338,8.6779,8.576880000000001,4.80057,4.56232,9.72208,6.30584,7.615639999999999,5.75702,4.77313,3.22404,4.8468599999999995,4.77918,4.7072,4.929180000000001,5.47232,8.20049,6.816669999999999,6.32037,3.8094699999999997,7.6195699999999995,7.59916,6.1285099999999995,7.128939999999999,9.24416,7.7794,11.54148,10.37982,5.1500699999999995,7.93146,10.77403,8.618089999999999,8.94374,5.2792,7.41737,8.61749
X60267,0,4.2281699999999995,9.218539999999999,8.13462,6.58022,7.161910000000001,5.83715,10.52309,7.1946699999999995,4.6946900000000005,5.4688,5.99977,7.35963,7.68221,4.44926,4.25108,9.250689999999999,5.85384,7.58945,5.06161,4.315119999999999,2.78783,4.63724,4.4251,4.58134,4.79711,5.29031,8.56437,6.41626,7.19623,3.66017,7.48722,7.60772,5.546469999999999,6.094519999999999,9.14452,7.865710000000001,11.53303,10.4625,5.1433,6.29932,10.931460000000001,9.850019999999999,9.1298,5.44435,7.73307,8.87702
X51174,0,4.4040099999999995,9.122589999999999,10.599680000000001,8.50796,8.03285,6.09199,11.42126,8.6177,4.06454,6.37389,6.765460000000001,8.68618,8.8294,4.37551,4.1104,9.1629,6.47392,8.00553,5.107130000000001,4.7603800000000005,3.14204,5.136340000000001,4.45613,5.0129,4.76651,5.27535,8.91113,6.43845,6.584919999999999,3.7484599999999997,7.15631,7.848489999999999,6.5977,7.51577,9.36732,8.0807,11.639610000000001,10.60705,4.071619999999999,7.03102,10.62195,10.71377,9.66285,5.346369999999999,7.41105,8.65194
X51068,0,4.0934800000000005,8.707239999999999,10.69092,7.99112,8.14122,7.020989999999999,11.40427,6.44718,4.7397599999999995,4.83625,5.4294,5.99704,6.57556,4.787059999999999,4.57873,9.06654,5.5592,7.25635,6.22233,5.7112300000000005,3.7196800000000003,6.20833,5.28634,5.48595,4.84719,5.00798,9.14072,7.06042,6.15794,3.9974800000000004,6.5483400000000005,7.88513,6.729369999999999,7.42497,9.06287,7.03883,11.11421,10.13466,3.9378599999999997,7.82805,10.89692,10.45622,9.76896,4.44571,6.61432,7.9887
X23177,0,4.1589,9.230360000000001,10.5934,7.78238,7.54732,6.39845,10.98208,7.17024,4.77645,5.17088,5.92002,7.0328100000000004,7.371289999999999,4.66306,4.6655,8.5967,5.49354,7.40333,5.48607,5.0734900000000005,3.00651,4.90994,4.6418800000000005,4.82562,4.71767,5.24092,9.56085,6.86221,6.718839999999999,4.200740000000001,7.8387,7.0514399999999995,6.00913,6.66383,9.695839999999999,7.669460000000001,11.659880000000001,11.1387,5.093719999999999,8.622,11.05688,11.09183,9.38371,4.48464,7.3932,8.25705
X23052,0,4.48031,8.98407,10.58735,8.12841,7.93615,6.34307,11.30653,6.45025,4.7251199999999995,4.34582,5.07266,5.943919999999999,5.74371,4.12855,4.01623,9.04803,5.73785,7.306889999999999,4.77489,4.63943,3.05176,4.6712,4.399,4.58798,4.78139,4.76769,8.77931,6.30728,6.6747,3.7790199999999996,7.63431,7.29208,5.90595,6.874810000000001,9.2978,8.29427,11.764619999999999,10.59463,5.28675,8.1067,10.93882,11.29315,9.5341,5.60847,7.5565,8.89913
X60170,0,3.8885,7.825939999999999,8.83352,8.89827,7.453410000000001,6.24637,11.039660000000001,8.44892,4.21888,6.77814,7.01375,8.427010000000001,9.1563,4.35585,4.41426,9.121939999999999,6.3671,7.75055,4.97693,4.21759,3.05996,4.33608,4.21023,4.22997,4.8425199999999995,4.88305,6.86826,6.61026,6.82101,3.9691400000000003,7.2243,7.4656,6.0873099999999996,6.82305,9.06777,7.75913,11.3704,10.15739,4.6908,6.720910000000001,9.97445,9.0705,9.23864,5.13819,7.14893,8.250210000000001
X70070,0,4.3506800000000005,8.76581,10.38977,8.0205,7.86274,6.39691,10.91307,7.07742,4.42325,5.1434,5.81802,7.20835,7.498130000000001,4.34132,4.0139,8.705210000000001,5.50389,7.074139999999999,5.03293,4.37084,3.18749,4.72277,4.363630000000001,4.43065,4.7241599999999995,5.02002,8.34141,6.56521,6.64071,3.8120300000000005,7.462619999999999,7.324510000000001,6.30545,6.8899300000000006,9.713519999999999,8.34745,11.95875,10.93568,6.78609,8.19563,10.87192,10.09184,9.11897,4.9154800000000005,7.29207,8.35627
X44262,0,4.28986,9.44345,10.114889999999999,7.71623,7.776330000000001,6.75593,11.136460000000001,7.377610000000001,4.4538400000000005,5.44498,5.7526,7.38778,7.40625,4.36661,4.0663599999999995,9.6924,6.45696,7.8974899999999995,5.79073,5.1738800000000005,3.2656099999999997,5.20838,5.18185,4.4987699999999995,5.140969999999999,5.10522,7.7064,6.35265,7.00834,3.8104400000000003,7.52067,7.4702399999999995,6.34587,6.9907,10.063260000000001,8.44688,12.05921,11.200330000000001,4.91636,8.33803,10.95093,9.16752,9.42099,5.26682,7.42594,8.681460000000001
X22027,0,4.236759999999999,8.804739999999999,10.3936,8.19165,9.18372,7.42196,11.33666,7.3627,4.71434,5.380780000000001,6.23244,7.37511,7.424980000000001,4.52891,4.33286,8.44811,5.59549,7.28273,6.48946,5.95111,3.8933,6.320790000000001,6.0519,6.0930599999999995,4.8943,5.0128,8.54106,6.42278,6.08662,3.79601,7.07958,7.99395,6.77278,7.58425,9.47893,8.08067,11.72751,10.84967,4.32458,8.13686,10.57831,10.460999999999999,9.14892,5.14166,7.42081,8.369010000000001
X70057,0,4.03801,9.87749,7.7644,6.1279699999999995,7.39823,6.632560000000001,10.60268,6.56135,4.40325,4.76408,5.66035,6.54279,6.2936,4.59276,4.10856,7.85672,4.8230699999999995,6.61665,4.89232,4.39358,3.04766,4.49021,4.3726,4.5708400000000005,4.72345,5.27682,8.728060000000001,6.5208900000000005,6.32489,4.00444,6.989889999999999,6.71915,5.8819,6.65377,9.13764,7.60418,11.50795,10.641210000000001,5.72728,9.760480000000001,11.67842,11.21538,9.129669999999999,4.87481,7.64359,8.62383
X23036,0,4.19846,9.3213,8.62319,7.4894,8.01092,6.01382,11.035260000000001,8.23465,4.18945,6.43184,6.19832,8.18851,8.4479,4.07745,3.7877300000000003,8.92764,5.70784,7.2665,4.93823,4.39187,3.2988699999999995,4.84186,4.3506800000000005,4.31571,4.50322,5.0356,7.88006,6.1492,6.85014,3.57964,7.13952,7.507219999999999,5.67357,6.51933,9.90414,8.36328,12.10703,10.95049,4.360469999999999,6.09777,10.62648,10.0169,9.25883,4.92554,6.85822,8.45562
X22002,0,4.20972,9.25145,9.85933,5.26574,8.19437,6.51816,11.12543,7.28895,4.56682,5.35241,6.1817,7.41068,7.465089999999999,4.27059,4.13585,8.94079,6.21155,7.531739999999999,5.01622,4.327380000000001,3.05495,4.59502,4.51544,4.54684,4.92523,4.98036,8.74425,6.31297,6.82815,4.25751,7.74568,7.77008,5.99673,6.861330000000001,9.45377,8.48899,11.690010000000001,10.60448,5.27445,8.05648,10.88515,9.89499,9.26116,5.654719999999999,7.72638,9.01652
X70144,0,4.24025,8.92488,10.4492,6.65538,8.74893,6.52974,11.33664,6.93377,5.01502,5.69416,6.08715,7.0578899999999996,7.619389999999999,4.655880000000001,4.43339,10.24676,6.07637,7.70327,5.97167,5.04975,3.14089,5.617369999999999,5.327319999999999,5.395919999999999,4.6576,5.0623,8.323780000000001,6.48411,6.675210000000001,3.49608,7.5708,6.56712,4.939690000000001,5.8945,9.87941,7.96378,11.94375,11.05054,4.42741,7.4972,10.38012,10.825380000000001,9.87952,5.0641,7.4161,8.55879
X70056,0,4.11074,9.24681,10.77322,7.15998,8.32347,6.31546,11.115839999999999,7.52988,4.70056,5.51112,6.16106,7.635210000000001,7.671410000000001,4.333480000000001,4.51586,10.02661,6.02677,7.87246,5.81778,5.33901,3.2983,5.81653,4.719069999999999,5.10064,4.91338,5.02619,8.37401,6.43802,6.845269999999999,3.72796,7.4709699999999994,8.54706,6.97492,8.09549,9.47287,8.13156,11.85646,10.92008,4.40475,8.72252,11.18603,11.38999,9.49633,5.35934,7.73662,8.67646
X70055,0,4.17128,8.17159,9.68324,7.979589999999999,7.5635,6.62115,10.695730000000001,9.44753,4.794169999999999,7.239319999999999,8.16881,9.19051,9.6363,4.34326,4.27646,9.11702,5.5316,6.92453,5.13298,4.27865,3.01195,4.657019999999999,4.657030000000001,4.68481,4.800680000000001,4.73008,8.788310000000001,6.657310000000001,7.48607,4.15935,8.46768,7.46554,5.9822,7.01655,9.273060000000001,8.003160000000001,11.57686,10.66457,5.40132,8.05693,10.579360000000001,10.356760000000001,8.83638,5.04652,7.21786,8.549669999999999
