Gene 1,Gene 2,GeneExpr1,GeneExpr2,GeneExpr_Fused,EricScore,File
TMEM165,POLN,9.98,2.6,22.38,0.949,DOGSIFH100529.2
TMEM165,NDUFB2,12.11,12.72,28.7,0.959,DOGSIFH100529.6
TMEM165,WDR66,6.94,3.17,47.79,0.887,PLATYPUS100611.7
TMEM165,RNF220,6.94,2.11,6.09,0.575,PLATYPUS100611.7
TMEM165,RNF220,16.4,4.69,23.84,0.652,DOGSIFH100529.5
TBC1D17,TMEM181,17.19,6.46,73,0.889,DOGSIFH100529.2
TBC1D17,TP53,20.66,26.11,42.39,0.931,DOGSIFH100529.6
TBC1D17,NPFFR1,6.83,4.69,29.48,0.977,PLATYPUS100611.7
TBC1D17,NOM1,9.63,5.45,16.36,0.717,DOGSIFH100529.5
TBC1D17,TMEM181,9.63,8.52,43.71,0.549,DOGSIFH100529.5
DNTTIP2,ASB3,15.84,25.92,34.05,0.951,DOGSIFH100529.2
DNTTIP2,FRK,15.84,39.87,148.68,0.945,DOGSIFH100529.2
DNTTIP2,ZNF480,15.84,4.17,10.49,0.672,DOGSIFH100529.2
DNTTIP2,ZNF200,18.77,6.02,19.16,0.932,DOGSIFH100529.6
DNTTIP2,MIPOL1,10.45,24.34,72.55,0.799,PLATYPUS100611.7
DNTTIP2,KCNE4,17.54,1.83,20.6,0.507,DOGSIFH100529.5
RASEF,CCDC90B,7.52,15.02,7.78,0.966,DOGSIFH100529.2
RASEF,BCAS3,10.8,2.07,3.77,0.774,DOGSIFH100529.6
RASEF,CCDC90B,9.76,3.49,15.77,0.794,PLATYPUS100611.7
RASEF,STK3,9.76,4.8,12.31,0.501,PLATYPUS100611.7
RASEF,MRPS5,12.55,20.33,152.24,0.942,DOGSIFH100529.5
RASEF,STK3,12.55,7.89,49.25,0.784,DOGSIFH100529.5
ZNF207,CASC4,9.96,13.56,25.01,0.665,DOGSIFH100529.2
ZNF207,LCMT2,13.74,2.49,18.33,0.967,DOGSIFH100529.6
ZNF207,PPP2R5E,13.74,11.57,28.76,0.798,DOGSIFH100529.6
ZNF207,TMEM33,13.74,6.47,14.57,0.682,DOGSIFH100529.6
ZNF207,LCMT2,7.24,1.63,17.37,0.750,PLATYPUS100611.7
