,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4,
AA06,0,0,0,0,0,0,0,0,0,0,0,0,
AATK-AS1,0,0,0,0.0449321,0,0,0,0,0,0,0.0345045,0,
ACTL10,0.750376,1.26375,1.23236,1.77978,0.806844,1.06718,0.794661,1.84568,0.399782,0.329982,0.610656,0,
ACTL7B,0,0,0,0,0,0,0,0,0,0,0.144036,0,
ACTL9,0.053079,0,0,0,0.547408,0,0,0,0,0.0565074,0,0,
ACTR3BP2,0,0,0,0,0,0.0265512,0,0,0.0555685,0.25826,0.235091,0.162602,
ACTRT2,0,0,0,0,0,0,0,0,0,0,0.0841282,0,
ADAM21P1,0,0,0.016761,0,0,0.0544335,0.055156,0,0,0.0349303,0.0529753,0.0747418,
ADIG,0,0,0.0995257,0,0,0,0,0,0.0893366,0,0,0.210555,
ADM2,0.285518,0.553401,0.161713,0.163818,0,3.55535,0.318509,0.501919,1.20812,0.42573,0.289995,0.271085,
ADRA1A,0.0931331,0,0,0,0.0652019,0,0,0,0.0245906,0.0668479,0.0939754,0.205256,
ADRA2C,13.8202,7.4293,4.90655,9.53262,6.74594,16.6879,1.09098,33.6519,4.34841,9.89778,15.2031,1.05679,
ADRB1,0.114044,0,0.241678,0,0.115019,0.198729,0.501204,0.108913,0.017731,0.117893,0.188639,0.0713107,
AFAP1-AS1,0,0,0,0,0,1.15525,0.703234,0,0.367079,0,0,0,
AGXT,0.0470097,0.107343,0,0.0528344,0,0.0526819,0,0,0,0,0,0,
AIRE,0,0,0,0,0,0.1708,0,0,0,0,0,0,
AJAP1,0.614924,0.276687,0,0,0,0.256171,0.126756,0.321908,0,0.328985,0.649831,0.148811,
AMELY,0,0,0,0,0,0,0,0,0,0,0,0,
AMER1,1.08733,1.11032,0.749728,0.563369,0.538307,0.991102,0.277367,0.330231,0.278064,0.542344,0.450538,0.0702499,
AMER2,0.0633253,0,0,0,0,0,0.0219108,0,0,0,0,0.018283,
AMER3,0.00634115,0,0,0,0,0,0,0,0,0.0137327,0.0430908,0.0503243,
