gene,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4
A4GALT,52.2097,0,0,0,13.614,30.996,1.2766,0,2.63515,2.311,3.03313,2.07858
AADAT,2.48082,1.83104,3.18292,4.14716,5.65939,1.27419,3.60029,3.5538,1.29226,0,2.16835,1.96964
AAR2,13.6006,16.182,10.5833,14.3225,12.7492,10.9397,12.8245,9.45974,3.80149,6.10188,8.13007,2.71137
AARS,0,0,0,0,0,0,0,0,0,0,17.2917,0
AARSD1;PTGES3L;PTGES3L-AARSD1,21.9372,0,13.9604,20.7454,20.0987,12.8544,15.3242,8.64259,13.7635,8.53086,9.0148,9.10058
AASS,3.03343,1.9293,5.00337,2.42479,10.6923,2.08842,3.08644,2.92145,3.70063,1.55513,5.45549,2.06552
AATF,42.1538,36.9886,21.8652,42.3317,20.7853,22.4907,30.2307,11.3594,0,8.04529,12.1807,3.83133
ABCA1,0,0,0,0,0,0,0,4.64355,0,0,0,0
ABCA10;ABCA5,1.54469,1.87234,2.15988,2.38418,0,1.13129,0.759919,0.691238,2.49078,0.934974,0.967473,0.669793
ABCA13,0.706085,0,2.02723,1.3857,0,0.596369,0.0122164,0.122373,0.203812,0,0.068605,1.57253
ABCA8,2.26875,0.89515,0,0.0487251,9.76382,0.987711,1.39916,0.0789369,0,1.38101,0.29252,4.30929
ABCA8;ABCA9,0,0,2.72161,0,0,0,0,0,0,0,0,0
ABCA9,0.310464,0.248379,0,0.0151861,4.42574,0.984915,0.17362,0.0685676,0.0926546,0.277412,0.377011,0.815945
ABCB10,0,0,0,0,0,0,0,0,0,0,1.50153,0
ABCB6,6.99283,8.57641,13.0876,7.70164,7.09038,12.059,13.1233,7.48902,4.39217,3.10677,0,2.15639
ABCB7,0,0,0,0,13.4224,0,0,0,0,0,0,0
ABCC1,0,17.6067,13.8889,16.1906,1.56637,12.0339,9.04081,0,0,0,0,0
ABCC3,5.56503,0,0,18.2678,0.219038,10.3035,16.5022,6.36918,10.381,1.83279,2.73113,8.03746
ABCC4,7.66758,5.77928,5.10285,4.16378,0.844242,5.80807,4.3251,3.29581,2.65645,4.45753,5.43845,4.24358
ABCC9,1.04302,0.0923913,0.0991204,0.0175033,4.44398,0.0471794,0.438677,0.0604973,0.0351169,1.42451,0.588045,0.683408
ABCD3,9.25027,11.7414,0,8.06219,3.3357,7.16285,10.8214,5.45736,0,0,6.01709,0
ABCD4,0,0,0,0,0,0,0,0,7.92479,0,0,0
ABCF2,11.4928,0,6.36599,18.8729,6.41561,0,12.6308,11.1931,3.20209,8.41248,5.41056,3.11572
ABCG2,0.453849,0.336126,0,0.0596607,1.60349,0,0,0.204142,0.0453882,0.68347,0.123135,0
ABCG4,0.220186,0.399757,0.461349,0.0338528,0,2.6242,0.0204435,0.729038,0.0930168,0,0.127542,0.144117
ABHD10,6.57269,8.30759,5.51039,5.68055,6.1591,6.53242,6.73441,5.41576,2.34748,3.27511,6.12644,1.752
ABHD11,16.906,37.2008,35.3094,71.0327,5.59836,30.1768,0,41.7932,0,0,0,0
ABHD13,2.34416,3.09413,0,1.46707,1.46143,1.72261,3.69088,0.899009,0.563092,0.987658,0,0.557199
ABHD14B,32.8759,37.339,16.6413,39.8155,28.7663,23.3917,20.2154,24.6045,12.5685,10.7711,7.81204,0
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,6.72164
ABHD2,12.5489,17.9586,13.3223,10.3887,4.00738,7.16981,12.1202,0,0.906915,2.77218,1.58149,2.79741
ABHD6,0,0,0,0,0,0,2.76371,0,0,0,0,0
ABI3BP,5.84963,0.478408,0,0.209138,12.5191,4.41761,1.65092,0.213654,1.13175,1.8006,1.75839,6.40798
ABLIM1,48.8931,0,0,0,0,0,0,0,12.7531,0,0,0
ABLIM3,2.38815,4.43777,1.54135,4.91036,12.8548,4.35756,1.14148,0.796326,0.0881273,0.299885,0.426677,0
ABO,0,6.59952,0,0,0,0,0,0,0,0,0,0
ABP1,0.522489,0.789588,2.09638,1.28609,0,32.2418,0.126591,10.1099,0,1.16103,0.166467,0.0691507
ABRACL,44.9637,50.2765,33.7039,65.0691,10.2609,29.6169,162.878,28.9722,10.6718,24.0005,22.4347,25.5778
ABT1,0,0,0,0,0,0,0,0,3.33556,0,0,0
ACAA2,21.3058,22.2632,11.1457,12.7344,8.61945,0,10.955,11.4453,0,3.13101,7.93042,3.23473
ACACB,3.08794,1.32566,2.84449,0.272083,8.74179,2.52827,1.01706,3.74836,2.93868,0.291478,0,1.36881
ACADM,16.264,12.949,8.86587,9.34007,11.5413,9.01905,10.8114,0,4.8878,0,0,1.55004
ACADSB,2.91469,3.82741,0,2.28562,2.99466,1.09901,0,1.38231,0.999595,0.606382,1.02414,1.01443
ACAP3,2.27737,2.95395,3.34039,3.35988,14.2151,0,3.14156,5.79684,4.59462,0,5.21044,5.20838
ACAT1,0,0,0,0,0,0,0,0,0,0,0,2.50672
ACBD3,15.7946,20.087,11.1544,16.2091,9.85716,17.1021,20.3213,15.3224,9.4089,10.5658,5.89678,24.6215
ACBD5,6.8224,8.75448,5.0898,7.08606,1.99276,4.30624,7.06861,2.5083,0,0,0,1.43585
ACBD6,21.2662,28.5957,16.1156,29.3664,20.9585,30.855,35.8882,20.8943,0,0,0,0
ACBD7,1.40964,3.3879,0,0.975326,0.0672776,0.46427,2.05263,2.15303,0.99925,1.41344,4.5311,0.396619
ACE,6.0284,2.27934,1.19656,2.94006,3.9926,5.26808,6.65505,11.1364,2.4325,1.11307,1.36512,4.63171
